medicine_name,mfg_name,comp_id
AKOGRA 120MG TAB,ACINOM HEALTHCARE,3218
ALECLOZ 120MG TAB,ALNICHE LIFE SCIENCES PVT LTD,3218
ALEFEX 120MG TAB,ALTAR PHARMACEUTICALS PVT LTD,3218
ALEFEN 120MG TAB,ASVINS LIFECARE,3218
ALERFEX 120MG TAB,ORTIN LABORATORIES LTD,3218
ALERMED 120MG TAB,ZYDUS HEALTHCARE LTD,3218
ALERGO 120MG TAB,ZYDUS HEALTHCARE LTD,3218
ALERGON 120MG TAB,AMAZING RESEARCH LABS,3218
ALERNEX 120MG TAB,ALEMBIC PHARMACEUTICALS LTD,3218
ALERGARD 120MG TAB,BIOMAX BIOTECHNICS,3218
ALERSIF 120MG TAB,SIFCO PHARMA,3218
ALER G 120MG TAB,JERIST BIOTECH,3218
ALEXO 120MG TAB,ALVIO PHARMACEUTICALS PVT LTD,3218
ALEXOFEN 120MG TAB,AESCUL PHARMA,3218
ALFEXO 120MG TAB,ERNST PHARMACIA,3218
ALFENADIN 120MG TAB,NOVOSTART LIFE SCIENCES,3218
ALGROT 120MG TAB,KHANDELWAL LABORATORIES PVT LTD,3218
ALLALL 120MG TAB,DR SURIS LIFESCIENCES PVT LTD,3218
ALLDIN 120MG TAB,ALTENA HEALTHCARE,3218
ALLEGRA 120MG TAB,SANOFI INDIA LIMITED,3218
ALLERITE 120MG TAB,MHS PHARMACEUTICALS,3218
ALLERFEX 120MG TAB,TORRENT PHARMACEUTICALS LTD,3218
ALLERGO 120MG TAB,AGIO PHARMACEUTICALS LTD,3218
ALLERFAST 120MG TAB,NRI VISION CARE PVT LTD,3218
ALLEGIX 120MG TAB,INTAS PHARMACEUTICALS LTD,3218
ALLERSOL 120MG TAB,BOFFIN BIOTECH PVT LTD,3218
ALLETO 120MG TAB,SANTO MEDI SCIENCES PVT LTD,3218
ALLEGRATUNE 120MG TAB,FORTUNE LABS,3218
ALLERGEGRA 120MG TAB,HEALING PHARMA,3218
ALLOFEX 120MG TAB,WOCKHARDT,3218
ALRGEE 120MG TAB,DR MOREPEN LTD,3218
ALSTEGRA 120MG TAB,AUSTRO LABS,3218
ALTIVA 120MG TAB,RANBAXY,3218
AL LOW 120MG TAB,COHREM PHARMACEUTICAL PVT LTD,3218
ANFEXD 120MG TAB,ANADERM,3218
ARAMOL 120MG TAB,SYNDICATE LIFE SCIENCES,3218
ASTEGRA 120MG TAB,AUSTRO LABS,3218
AZIGRA 120MG TAB,AZILLIAN HEALTHCARE,3218
BIOFEN 120MG TAB,BIOCHEMIX HEALTHCARE PVT LTD,3218
MOREXA 120MG TAB,INNATE BIOTECH PVT LTD,3218
NASIVION ALLERGY 120MG TAB,MERCK LIMITED,3218
NEMEGRA 120MG TAB,NEMUS PHARMACEUTICALS PVT LTD,3218
KIT 120MG TAB,HIRAL LABS LTD,3218
KLM FX 120MG TAB,KLM LABORATORIES PVT LTD,3218
GEMFEX 120MG TAB,SAFFRON THERAPEUTICS PVT LTD,3218
GENAFEX 120MG TAB,GENPHARMA INTERNATIONAL PVT LTD,3218
ELTEGRA 120MG TAB,SCOTT EDIL PHARMACIA LTD,3218
OREFEX 120MG TAB,ZEE LABORATORIES LTD,3218
OREGRA 120MG TAB,RISHAB HEALTHCARE,3218
ORIGRA 120MG TAB,ORANGE RESEARCH LABS,3218
OXENAFID 120MG TAB,MAKSUN BIOTECH,3218
HHFEXO 120MG TAB,HEGDE AND HEGDE PHARMACEUTICA LLP,3218
HISTAFREE 120MG TAB,MANKIND PHARMA LTD,3218
HISTAKIND 120MG TAB,MANKIND PHARMA LTD,3218
HISTOS 120MG TAB,WINSOME LABORATORY LTD,3218
HISTAPIN 120MG TAB,PINARC LIFE SCIENCES,3218
HISTAKEM 120MG TAB,ALKEM LABORATORIES LTD,3218
HISTALOC 120MG TAB,AGLOWMED LTD,3218
HISTIGRA 120MG TAB,UNIVENTIS MEDICARE LTD,3218
HISTANISH 120MG TAB,RONISH BIOCEUTICALS,3218
HISTALIFE 120MG TAB,MANKIND PHARMA LTD,3218
HISTAMEX 120MG TAB,COMEX PHARMA,3218
HISTOCARE 120MG TAB,ARION HEALTHCARE,3218
INFEXO 120MG TAB,INJECTO CAPTA,3218
ODIFEX 120MG TAB - FOR TSRTC,BIOCHEM PHARMACEUTICAL INDUSTRIES,3218
ODIFEX 120MG TAB,ZYDUS HEALTHCARE LTD,3218
INTRAFEN 120MG TAB,INTRA LABS INDIA PVT LTD,3218
GLENFINE 120MG TAB,GLENMARK PHARMACEUTICALS LTD,3218
GREFEX 120MG TAB,ZEE LABORATORIES LTD,3218
LINIFEX 120MG TAB,SARTHI LIFE SCIENCES,3218
MANOFEX 120MG TAB,CMG BIOTECH,3218
RHINOFEX 120MG TAB,ASTRAZENECA PHARMA INDIA LTD,3218
RHINOFREE F 120MG TAB,MANUFACTURER INFO NOT AVAILABLE,3218
RYMA 120MG TAB,ALKEM LABORATORIES LTD,3218
SAFEGRA 120MG TAB,BIOPHAR LIFESCIENCES,3218
SENSIFEN 120MG TAB,MANAS PHARMA,3218
QFEX 120MG TAB,QURE BIOTEC,3218
RADIFEX 120MG TAB,RADICURA PHARMA PVT LTD,3218
SINAREST FX 120MG TAB,CENTAUR PHARMACEUTICALS PVT LTD,3218
SOLVIGRA 120MG TAB,SOLVIS PHARMACEUTICALS,3218
TELFAST 120MG TAB,AVENTIS,3218
TOSIGRA 120MG TAB,PAX HEALTHCARE,3218
MEXOGRA 120MG TAB,MEDICHI BIOCARE,3218
NEXOFEX 120MG TAB,EMENOX HEALTHCARE,3218
NEXOFER 120MG TAB,EMENOX HEALTHCARE,3218
SYMFINE 120MG TAB,KINESIS PHARMACEUTICALS PVT LTD,3218
FREDY 120MG TAB,WINSTON PHARMACEUTICALS LTD,3218
FX 120MG TAB,OPTIDERMA SKIN CARE LLP,3218
FX 24 120MG TAB,HETERO HEALTHCARE LIMITED,3218
F DIN 120MG TAB,KAIZEN RESEARCH LABS INDIA PVT LTD,3218
GALFEGRA 120MG TAB,GALPHA LABORATORIES,3218
LCFEX 120MG TAB,RAPROSS PHARMACEUTICALS PVT LTD,3218
LEEGRA 120MG TAB,DYNAMED PHARMA,3218
ZUFEX 120MG TAB,MEDIREX LIFESCIENCES PVT LTD,3218
PILOT 120MG TAB,SKN ORGANICS P LTD,3218
TRUEFEX 120MG TAB,GLAD DRUGS AND PHARMA,3218
TRUFEX 120MG TAB,TRUMAC HEALTHCARE,3218
TRUFEXO 120MG TAB,BIOTIC HEALTHCARE,3218
ULTIGRA 120MG TAB,MEDLEY PHARMACEUTICALS LTD,3218
URTIFEX 120MG TAB,LIFELINE REMEDIES INDIA PVT LTD,3218
VANIXO 120MG TAB,AVANCER LABS,3218
VENDIM 120MG TAB,ZEE LABORATORIES LTD,3218
VERIFINE 120MG TAB,VERITAZ HEALTHCARE,3218
VEXDIN 120MG TAB,ZEE LABORATORIES LTD,3218
VILOFEX 120MG TAB,VATICAN LIFE SCIENCES PVT LTD,3218
VISCOFINE 120MG TAB,WELLMARK LIFE SCIENCES,3218
WEFEX 120MG TAB,ZEE LABORATORIES LTD,3218
WELFEX 120MG TAB,COGNIWELL PHARMA,3218
WEXODINE 120MG TAB,ZEE LABORATORIES LTD,3218
XDINE 120MG TAB,PSYCO REMEDIES LTD,3218
XOFENAD 120MG TAB,BIOMAX BIOTECHNICS,3218
YELFEX 120MG TAB,SYMBIOSIS PHARMACEUTICAL PVT LTD,3218
YESFEXO 120MG TAB,DEMAX BIOTECH PVT LTD,3218
ZEFEX 120MG TAB,ZEPHON LIFESCIENCES,3218
ZEX 120MG TAB,ZEE LABORATORIES LTD,3218
DOFEXO 180MG TAB,DOSCHEMEN PHARMACEUTICALS,6326
DRUSA 180MG TAB,MAXAMUS,6326
DYNAHIST 180MG TAB,DYNAMED PHARMA,6326
DELPODINE 180MG TAB,DELCURE LIFESCIENCES LTD,6326
DINFEXO 180MG TAB,ORRIN PHARMA,6326
ETOFEX  180MG TAB,LEEFORD HEALTHCARE LTD,6326
EXFEN 180MG TAB,OLCARE LABORATORIES PVT LTD,6326
EXILER 180MG TAB,REMEDIAL HEALTHCARE,6326
FAXDOL 180MG TAB,ALPIC REMEDIES,6326
FAXOMAC 180MG TAB,MAC HEALTHCARE PVT LTD,6326
FEEGRA 180MG TAB,JOHNLEE PHARMACEUTICALS PVT LTD,6326
FEGOVIN 180MG TAB,VINO PHARMA,6326
FEGRA-180MG TAB,COMED CHEMICALS,6326
FELLEGRA 180MG TAB,RENOWED LIFESCIENCES,6326
FENAGRA 180MG TAB,SYCAP PHARMA,6326
FENAXIA 180MG TAB,SOLTECH LIFESCIENCES,6326
FENADIN 180MG TAB,SANTIAGO LIFE SCIENCES PVT LTD,6326
FENEXIA 180MG TAB,SOLTECH LIFESCIENCES,6326
FENFOX 180MG TAB,BIOCHEMIX HEALTHCARE PVT LTD,6326
FENIXA 180MG TAB,CANIXA LIFE SCIENCES PVT LTD,6326
FENOXY 180MG TAB,PARAMOUNT HEALTHCARE,6326
FENQ 180MG TAB,LAXIAN INCORPORATION,6326
COLIGRA 180MG TAB,ZENLABS ETHICA LTD,6326
CUFENA 180MG TAB,CUBIT HEALTHCARE,6326
CUTIFEX 180MG TAB,INEX MEDICAMENTS PVT LTD,6326
CUTIFEN 180MG TAB,INTRA LIFE,6326
FETCH 180MG TAB,HEPTAGON LIFESCIENCES PVT LTD,6326
FEX-180MG TAB,EAST WEST PHARMA,6326
FEXAMIN 180MG TAB,INDILLINA PHARMA,6326
FEXADAY 180MG TAB,INVISION MEDI SCIENCE PVT LTD,6326
FEXALL 180MG TAB,ABYSS PHARMA,6326
FEXBEST 180MG TAB,BIOCHEMIX HEALTHCARE PVT LTD,6326
FEXCLEAR 180MG TAB,PRIMUS REMEDIES PVT LTD,6326
FEXDAY 180MG TAB,CANBRO HEALTHCARE,6326
FEXERT 180MG TAB,LA PRISTINE BIOCEUTICALS PVT LTD,6326
FEXENAL 180MG TAB,GALAXY PHARMA,6326
FEXECO 180MG TAB,APIKOS PHARMA,6326
FEXIGRA 180MG TAB,CIPLA,6326
FEXIL 180MG TAB,INDUS LIFE SCIENCES PVT LTD,6326
FEXINOL 180MG TAB,KNOLL HEALTHCARE PVT LTD,6326
FEXIN 180MG TAB,AXODIN PHARMA,6326
FEXIA 180MG TAB,CHEMO BIOLOGICAL,6326
FEXICUM 180MG TAB,ASTEMAX BIOTECH,6326
FEXIDEL 180MG TAB,PHARMATECH HEALTHCARE,6326
FEXICARE 180MG TAB,PHARMATECH HEALTHCARE,6326
FEXIGOOD 180MG TAB,ZYNOVIA LIFECARE,6326
FEXIGUM 180MG TAB,ATLINA LIFESCIENCES,6326
FEXODIN 180MG TAB,OLCARE LABORATORIES PVT LTD,6326
FEXOVA 180MG TAB,IPCA LABORATORIES LTD,6326
FEXOMIK 180MG TAB,DERMAREX HEALTHCARE INDIA PVT LTD,6326
FEXOLIFE 180MG TAB,DR JOHNS LAB HEALTHCARE PVT LTD,6326
FEXOPEN 180MG TAB,DR MOREPEN LTD,6326
FEXOCET 180MG TAB,KIVI LABS,6326
FEXOHIST 180MG TAB,ADIPS LABORATORIES LTD,6326
FEXONA 180MG TAB,LYKA HETERO,6326
FEXOSTAL 180MG TAB,STALLION LABORATORIES,6326
FEXODER 180MG TAB,ELDER PHARMACEUTICALS LTD,6326
FEXOCON 180MG TAB,MINOVA LIFESCIENCES,6326
FEXOVIN 180MG TAB,ELIVIA LIFE SCIENCES,6326
FEXOGRA 180MG TAB,BHAGYASHREE PHARMA,6326
FEXOHIT 180MG TAB,ZEE LABORATORIES LTD,6326
FEXODINE 180MG TAB,OLCARE LABORATORIES PVT LTD,6326
FEXODEX 180MG TAB,CADEX LABS,6326
FEXOGEM 180MG TAB,ZOTA HEALTH CARE LTD,6326
FEXOTAB 180MG TAB,ROYAL LABS,6326
FEXONUS 180MG TAB,STRENUOUS HEALTHCARE,6326
FEXODAC TAB,WONDER HEALTHCARE,6326
FEXOBIT 180MG TAB,BRINTON PHARMACEUTICALS LTD,6326
FEXODIS 180MG TAB,BIONOVA LIFESCIENCES,6326
FEXOLEX 180MG TAB,ASTLEY LIFESCIENCES,6326
FEXOGIS 180MG TAB,AIGIS BIOTEC,6326
FEXOZIDE 180MG TAB,IKON REMEDIES PVT LTD,6326
FEXOLIST 180MG TAB,BIOPHAR LIFESCIENCES,6326
FEXOPRIDE 180MG TAB,INNOVATIVE PHARMA,6326
FEXOVIS 180MG TAB,DOLVIS BIOPHARMA,6326
FEXOKIND 180MG TAB,OLAMIC PHARMA,6326
FEXOPRIM 180MG TAB,PRIMUS PHARMA,6326
FEXOLAR 180 MG TAB,SERVOCARE LIFESCIENCES,6326
FEXOKRO 180MG TAB,KRISHGIR PHARMA,6326
FEXOSTAR 180MG TAB,ORGANIC LABORATORIES,6326
FEXOLOC 180MG TAB,PRIDE HEALTHCARE,6326
FEXOFEM 180MG TAB,FEMGRACE FORMULATIONS,6326
FEXOGRACE 180MG TAB,SUNGRACE PHARMA,6326
FEXOVIB 180MG TAB,VIBCARE  PHARMA,6326
FEXOLERT 180MG TAB,MESTRA PHARMA,6326
FEXOFINE 180MG TAB,YASH REMEDIES,6326
FEXOLIX 180MG TAB,ELIXIR LIFE CARE PVT LTD,6326
FEXOQUIT 180MG TAB,FINECURE PHARMACEUTICALS,6326
FEXOROW 180MG TAB,ROWLINGES LIFE SCIENCES,6326
FEXOWAL 180MG TAB,WALLACE PHARMACEUTICALS PVT LTD,6326
FEXONET 180MG TAB,ROSNET PHARMA,6326
FEXOCAN 180MG TAB,RELIANCE FORMULATION PVT LTD,6326
FEXONIX 180MG TAB,SAPHNIX LIFE SCIENCES,6326
FEXOREG 180MG TAB,REGULUS PHARMACEUTICALS,6326
FEXOMAK 180MG TAB,CASCA REMEDIES,6326
FEXONID 180MG TAB,NIDUS PHARMA,6326
FEXOTIS 180MG TAB,ATLANTIS FORMULATIONS,6326
FEXOCAD 180MG TAB,CADILA PHARMACEUTICALS LTD,6326
FEXONIL 180MG TAB,GIRIRAJ HEALTH CARE,6326
FEXOFAST 180MG TAB,MICRO LABS LIMITED,6326
FEXODEN 180MG TAB,WELGENIC PHARMA,6326
FEXOGOS 180MG TAB,SEGOS BIOCARE,6326
FEXOFAB 180MG TAB,OSIANTE BIOTECH,6326
FEXO 180MG TAB,KJ LAB,6326
FEXOTIC 180MG TAB,ASIATIC PHARMA,6326
FEXRID 180MG TAB,MATINS PHARMA,6326
FEXSOLA 180MG TAB,AMERICAN BIOCARE,6326
FEXTRAL 180MG TAB,INDCHEMIE HEALTH SPECIALITIES,6326
FEXTIM 180MG TAB,MAESTRO PHARMA,6326
FEXTIVA 180MG TAB,SOLACE BIOTECH LIMITED,6326
FEXT 180MG TAB,BEST BIOTECH,6326
FEXTRIC 180MG TAB,RYTUS THERAPEUTICS LTD,6326
FEXY 180MG TAB,LUPIN LTD,6326
FEXZIL 180MG TAB,OZIEL PHARMA,6326
FEX 180MG TAB,EAST WEST PHARMA,6326
FILFAST 180MG TAB,ASTERISK LABS PVT LTD,6326
FINADINE 180MG TAB,RACE PHARMACEUTICALS P LTD,6326
FINIDE 180MG TAB,INDCHEMIE HEALTH SPECIALITIES,6326
FIXPOLLEN 180MG TAB,SUDARSHAN PHARMA INDUSTRIES LTD,6326
FLEXIBERT 180MG TAB,ALBERT DAVID,6326
FLOFEX 180MG TAB,FLORIS SKIN CARE,6326
FLOTELIN 180MG TAB,LIFE VISION HEALTHCARE,6326
CEGRA 180MG TAB,ELFIN PHARMA PVT LTD,6326
CELEGRA 180MG TAB,SUNMAX PHARMA LTD,6326
ELVEGRA 180MG TAB,NUKIND HEALTHCARE,6326
EMFEX 180MG TAB,EMBARK LIFESCIENCE PVT LTD,6326
CIAFAST 180MG TAB,CIAGA,6326
CIAFEX 180MG TAB,INNOVATIVE LIFE SCIENCES,6326
AFEXDINE 180MG TAB,ADLEY LAB,6326
AFEXDAY 180MG TAB,MERIDUS PHARMA,6326
AH 180MG TAB,SWIZER BIOMEDICARE,6326
AIR 180MG TAB,SYSTOPIC LABORATORIES PVT LTD,6326
ALAFEX 180MG TAB,MEFRO PHARMA,6326
ALECLOZ 180MG TAB,ALNICHE LIFE SCIENCES PVT LTD,6326
ALERMED 180MG TAB,ZYDUS HEALTHCARE LTD,6326
ALERNEX 180MG TAB,ALEMBIC PHARMACEUTICALS LTD,6326
ALERFEX 180MG TAB,ORTIN LABORATORIES LTD,6326
ALERT 180MG TAB,VASU HEALTHCARE PVT LTD,6326
ALERGARD 180MG TAB,BIOMAX BIOTECHNICS,6326
ALERGON 180MG TAB,AMAZING RESEARCH LABS,6326
ALER G 180MG TAB,JERIST BIOTECH,6326
ALERICAD 180MG TAB,ZYDUS HEALTHCARE LTD,6326
ALERWIN 180MG TAB,WINGS PHARMA,6326
ALEXO 180MG TAB,ALVIO PHARMACEUTICALS PVT LTD,6326
ALEXOFEN 180MG TAB,AESCUL PHARMA,6326
ALFEXO 180MG TAB,ERNST PHARMACIA,6326
ALFENADIN 180MG TAB,NOVOSTART LIFE SCIENCES,6326
ALGROT 180MG TAB,KHANDELWAL LABORATORIES PVT LTD,6326
ALIA 180MG TAB,CHEMO HEALTHCARE PVT LTD,6326
ALLALL 180MG TAB,DR SURIS LIFESCIENCES PVT LTD,6326
ALLEGRA 180MG TAB,SANOFI INDIA LIMITED,6326
ALLEGRIX 180MG TAB,INTAS PHARMACEUTICALS LTD,6326
ALLERFEX 180MG TAB,TORRENT PHARMACEUTICALS LTD,6326
ALLERGO 180MG TAB,AGIO PHARMACEUTICALS LTD,6326
ALLEGIX 180MG TAB,INTAS PHARMACEUTICALS LTD,6326
ALLERGIFEX 180MG TAB,OSWALD PHARMACEUTICALS PVT LTD,6326
ALLERSOL 180MG TAB,BOFFIN BIOTECH PVT LTD,6326
ALLEGRATUNE 180MG TAB,FORTUNE LABS,6326
ALLERGEGRA 180MG TAB,HEALING PHARMA,6326
ALOSET 180MG TAB,SKINWELL REMEDIES,6326
AL LOW 180MG TAB,COREM HEALTH CARE,6326
ANFEXD 180MG TAB,ANADERM,6326
ASTEGRA 180MG TAB,AUSTRO LABS,6326
AZIGRA 180MG TAB,AZILLIAN HEALTHCARE,6326
BESTFEX 180MG TAB,ROSTRUMED BIOTECH,6326
BIOFEX 180MG TAB,BIODERMA SOLUTIONS,6326
BIOFEN 180MG TAB,BIOCHEMIX HEALTHCARE PVT LTD,6326
MONDEX 180MG TAB,TALENT HEALTHCARE,6326
NASIVION ALLERGY 180MG TAB,MERCK LIMITED,6326
NEMEGRA 180MG TAB,NEMUS PHARMACEUTICALS PVT LTD,6326
KLM FX 180MG TAB,KLM LABORATORIES PVT LTD,6326
GEMFEX 180MG TAB,SAFFRON THERAPEUTICS PVT LTD,6326
GENAFEX 180MG TAB,GENPHARMA INTERNATIONAL PVT LTD,6326
ELTEGRA 180MG TAB,SCOTT EDIL PHARMACIA LTD,6326
OREGRA 180MG TAB,RISHAB HEALTHCARE,6326
ORIGRA 180MG TAB,ORANGE RESEARCH LABS,6326
OXENAFID 180MG TAB,MAKSUN BIOTECH,6326
O FEX 180MG TAB,BIO SWIZZ PHARMACEUTICALS,6326
HEXOFEN 180MG TAB,HUMAN LIFE SCIENCES,6326
HHFEXO 180MG TAB,HEGDE AND HEGDE PHARMACEUTICA LLP,6326
HISTAFREE 180MG TAB,MANKIND PHARMA LTD,6326
HISTAKIND 180MG TAB,MANKIND PHARMA LTD,6326
HISTAKEM 180MG TAB,ALKEM LABORATORIES LTD,6326
HISTOP 180MG TAB,PARRY PHARMA,6326
HISTACROSS 180MG TAB,AMWILL HEALTH CARE,6326
HISTALIFE 180MG TAB,MANKIND PHARMA LTD,6326
HISTAPIN 180MG TAB,PINARC LIFE SCIENCES,6326
HISTAMEX 180MG TAB,COMEX PHARMA,6326
HISTOCARE 180MG TAB,ARION HEALTHCARE,6326
IBREX 180MG TAB,CADILA PHARMACEUTICALS LTD,6326
INFEXO 180MG TAB,INJECTO CAPTA,6326
ODIFEX 180MG TAB,ZYDUS HEALTHCARE LTD,6326
OFINE 180MG TAB,GARY PHARMA,6326
INTRAFEN 180MG TAB,INTRA LIFE,6326
JAFEDIN 180MG TAB,JACK PHARMA,6326
JIMFEX 180MG TAB,JIMSUN LIFE SCIENCES PVT LTD,6326
GLENFINE 180MG TAB,GLENMARK PHARMACEUTICALS LTD,6326
LINIFEX 180MG TAB,SARTHI LIFE SCIENCES,6326
MANOFEX 180MG TAB,CMG BIOTECH,6326
REXHIST 180MG TAB,ROWAN BIOCEUTICALS PVT LTD,6326
RHINOFEX 180MG TAB,ASTRAZENECA PHARMA INDIA LTD,6326
QFEX 180MG TAB,QURE BIOTEC,6326
SHONFEX 180MG TAB,SCHON PHARMACEUTICALS LTD,6326
SILAGRA 180MG TAB,CHS FORMULATIONS,6326
STADFEX 180MG TAB,XIEON LIFE SCIENCES PVT LTD,6326
TELFAST 180MG TAB,AVENTIS,6326
TIMOFEX 180MG TAB,TIMON PHARMACEUTICALS PVT LTD,6326
MEXOGRA 180MG TAB,MEDICHI BIOCARE,6326
NEXOFEX 180MG TAB,EMENOX HEALTHCARE,6326
NIXOFEN 180MG TAB,SPHERE PHARMA,6326
SYMFINE 180MG TAB,KINESIS PHARMACEUTICALS PVT LTD,6326
TADIL 180MG TAB,PSYCHOTROPICS INDIA LTD,6326
FX 180MG TAB,OPTIDERMA SKIN CARE LLP,6326
FX 24 180MG TAB,HETERO HEALTHCARE LIMITED,6326
F DIN 180MG TAB,KAIZEN RESEARCH LABS INDIA PVT LTD,6326
GALFEGRA 180MG TAB,GALPHA LABORATORIES,6326
LCFEX 180MG TAB,RAPROSS PHARMACEUTICALS PVT LTD,6326
LEEGRA 180MG TAB,DYNAMED PHARMA,6326
ZUFEX 180MG TAB,MEDIREX LIFESCIENCES PVT LTD,6326
PILOT 180MG TAB,SKN ORGANICS P LTD,6326
TRUFEX 180MG TAB,TRUMAC HEALTHCARE,6326
TRUFEXO 180MG TAB,BIOTIC HEALTHCARE,6326
ULTIGRA 180MG TAB,MEDLEY PHARMACEUTICALS LTD,6326
URTIFEX 180MG TAB,LIFELINE REMEDIES INDIA PVT LTD,6326
VALFEX 180MG TAB,BIOSYS MEDISCIENCES,6326
VERIFINE 180MG TAB,VERITAZ HEALTHCARE,6326
VILOFEX 180MG TAB,VATICAN LIFE SCIENCES PVT LTD,6326
WEXODINE 180MG TAB,ZEE LABORATORIES LTD,6326
XDINE 180MG TAB,PSYCO REMEDIES LTD,6326
XOFENAD 180MG TAB,BIOMAX BIOTECHNICS,6326
YELFEX 180MG TAB,SYMBIOSIS PHARMACEUTICAL PVT LTD,6326
Y CARE 180MG TAB,LA MED INDIA,6326
ZEX 180MG TAB,ZEE LABORATORIES LTD,6326
ZIAV 180MG TAB,DEVYAM MEDICARE PVT LTD,6326
BLEV 5MG TAB,BHUMI PHARMACEUTICAL,7676
BOROX 5MG TAB,BIOMAX BIOTECHNICS,7676
BRUNDA 5MG TAB,VERITAZ HEALTHCARE,7676
BURDY 5MG TAB,BIOSYS MEDISCIENCES,7676
CACH L 5MG TAB,CACHET PHARMACEUTICALS PVT LTD,7676
ESTRIZINE L TAB,ESCARE FORMULATIONS PVT LTD,7676
ETHIZINE 5MG TAB,ETHINEXT PHARMA,7676
EUSTOLEV 5MG TAB,EUSTOMA LABS,7676
EUVO CET 5MG TAB,EU GENIA BIOCARE INTERNATIONAL,7676
EUZIN 5MG TAB,ZEDIP FORMULATIONS,7676
EVOCET 5MG TAB,COMEX PHARMA,7676
EXOCET LV 5MG TAB,ASTRICA BIOMEDICS PVT LTD,7676
EZOCET 5MG TAB,NN REMEDIES PVT LTD,7676
E CET LV TAB,ZOTA HEALTH CARE LTD,7676
FASTLEV TAB,SUMAC PHARMA PVT LTD,7676
FD LEVO 5MG TAB,FUTURE DERMACARE PVT LTD,7676
FEMCET 5MG TAB,FEMGRACE FORMULATIONS,7676
FIBOCET 5MG TAB,UNIARK HEALTHCARE PVT LTD,7676
FINEZINE 5MG TAB,FLORIS SKIN CARE,7676
FITIN 5MG TAB,MEDLEY PHARMACEUTICALS LTD,7676
FITZINE DT 5MG TAB,SANTIAGO LIFE SCIENCES PVT LTD,7676
FLAMOSET 5MG TAB,FLAMINGO PHARMA LTD,7676
FLINGO 5MG TAB,IIFA HEALTHCARE,7676
FLYCET L TAB,SRI BIOTECH PVT LTD,7676
FLZIN 5MG TAB,XEMEX LIFE SCIENCES,7676
CAVIZINE 5MG TAB,CAVIAR DERMA,7676
CEFID L TAB,RADICURA PHARMA PVT LTD,7676
CEJAN 5MG TAB,JANUS BIOTECH,7676
CEKRIS LV TAB,STELLAR BIOLABS,7676
CELOCET 5MG TAB,CB HEALTHCARE PVT LTD,7676
CELOCET L 5MG TAB,MATINS PHARMA,7676
ENACET 5MG TAB,ASTER MEDIPHARM PVT LTD,7676
ENCET L TAB,ENDOCARD INDIA,7676
ENECET L 5MG TAB,SWISS BIOTECH,7676
ENOCET LV 5MG TAB,ZENON HEALTHCARE,7676
EOLAP 5MG TAB,MEDIARKA LIFE SCIENCES PVT LTD,7676
EOLIST 5MG TAB,BIOPHAR LIFESCIENCES,7676
ERICET 5MG TAB,ERIKA REMEDIES,7676
EROZINE 5MG TAB,EARUM PHARMA,7676
ESARTAN 5MG TAB,HAB PHARMA,7676
CARYZINE MD 5MG TAB,CARYOTA LIFESCIENCES INDIA PVT LTD,7676
VAL 5MG TAB,BIOSYS MEDISCIENCES,7676
VARCET LV 5MG TAB,ZOTA HEALTH CARE LTD,7676
VCET 5MG TAB,VENSYS PHARMA,7676
VECET 5MG TAB,BIOCHEMIX HEALTHCARE PVT LTD,7676
VELCET 5MG TAB,CALIBAR PHARMA,7676
VENITRINE 5MG TAB,ZEE LABORATORIES LTD,7676
VENZIN 5MG TAB,VENISTRO BIOTECH,7676
VERLICET 5MG TAB,VERNA HEALTHCARE,7676
VETZIN L 5MG TAB,PHARMADEEP REMEDIES,7676
VIACET 5MG TAB,SOVIA ALTIS,7676
VIBGLOW 5MG TAB,NOVARTIS INDIA LTD,7676
VICOSIT 5MG TAB,INVICTUS LIFESCIENCES PVT LTD,7676
VINDES 5MG TAB,MAXIVIN LIFE SCIENCES,7676
VITACET 5MG TAB,VITA PHARMA,7676
VIVCET 5MG TAB,V REVIVE MEDICURE PVT LTD,7676
VIZCET 5MG TAB,VISTICA LIFE SCIENCES,7676
VIZOCET 5MG TAB,VENTUS PHARMACEUTICALS PVT LTD,7676
VOCE 5MG TAB,ZOTA HEALTH CARE LTD,7676
VOCET 5MG TAB,STADCHEM OF INDIA,7676
VOCETIN 5MG TAB,MEDLEY PHARMACEUTICALS LTD,7676
VOHIST 5MG TAB,VOYAGER PHARMATECH,7676
VOICE 5MG TAB,SERVE PHARMACEUTICALS,7676
VOLICET 5MG TAB,MEDLABS PHARMA,7676
VOLLERGIN 5MG TAB,BRD MEDILABS,7676
VOLTRIZ TAB,KAMRON LABORATORIES,7676
VOOLUP 5MG TAB,XIEON LIFE SCIENCES PVT LTD,7676
VORICET 5MG TAB,H AND CARE INCORP INDIA,7676
VORLEVO 5MG TAB,VASU ORGANICS PVT LTD,7676
VOTA MD 5MG TAB,GALCARE PHARMACEUTICALS PVT LTD,7676
VOTEC TAB,MISSION LAB,7676
VOTRI 5MG TAB,MEGMA HELATHCARE,7676
VOTRIZ 5MG TAB,AEOLIAN BIOTECH,7676
VOTRELL 5MG TAB,ESTRELLA PHARMA,7676
VOTZ 5MG 5MG TAB,WALLACE PHARMACEUTICALS PVT LTD,7676
VOZET TAB,DR REDDYS LABORATORIES LTD,7676
VOZINE 5MG TAB,OSCAR REMEDIES PVT LTD,7676
